V1;V2
pdl_29620.csv;27-sept-18
pdl_29621.csv;27-sept-18
pdl_29622.csv;27-sept-18
pdl_29623.csv;27-sept-18
pdl_29624.csv;27-sept-18
pdl_29629.csv;02-oct-18
pdl_29630.csv;02-oct-18
pdl_29631.csv;02-oct-18
pdl_29632.csv;02-oct-18
pdl_29633.csv;02-oct-18
pdl_29634.csv;02-oct-18
pdl_29635.csv;02-oct-18
pdl_29642.csv;03-oct-18
pdl_29643.csv;03-oct-18
pdl_29644.csv;03-oct-18
pdl_29645.csv;03-oct-18
pdl_29646.csv;03-oct-18
pdl_29647.csv;03-oct-18
pdl_29648.csv;03-oct-18
pdl_29649.csv;03-oct-18
pdl_29650.csv;03-oct-18
pdl_29679.csv;04-oct-18
pdl_29680.csv;04-oct-18
pdl_29681.csv;04-oct-18
pdl_29682.csv;04-oct-18
pdl_29690.csv;09-oct-18
pdl_29691.csv;09-oct-18
pdl_29692.csv;09-oct-18
pdl_29693.csv;09-oct-18
pdl_29694.csv;09-oct-18
pdl_29695.csv;09-oct-18
pdl_29696.csv;09-oct-18
pdl_29701.csv;10-oct-18
pdl_29702.csv;10-oct-18
pdl_29703.csv;10-oct-18
pdl_29704.csv;10-oct-18
pdl_29705.csv;10-oct-18
pdl_29706.csv;10-oct-18
pdl_29707.csv;10-oct-18
pdl_29708.csv;10-oct-18
pdl_29711.csv;10-oct-18
pdl_29712.csv;10-oct-18
pdl_29717.csv;11-oct-18
pdl_29718.csv;11-oct-18
pdl_29719.csv;11-oct-18
pdl_29720.csv;11-oct-18
pdl_29721.csv;11-oct-18
pdl_29722.csv;11-oct-18
pdl_29723.csv;11-oct-18
pdl_29724.csv;11-oct-18
pdl_29732.csv;16-oct-18
pdl_29733.csv;16-oct-18
pdl_29734.csv;16-oct-18
pdl_29735.csv;16-oct-18
pdl_29736.csv;16-oct-18
pdl_29737.csv;16-oct-18
pdl_29738.csv;16-oct-18
pdl_29739.csv;16-oct-18
pdl_29740.csv;16-oct-18
pdl_29741.csv;16-oct-18
pdl_29742.csv;16-oct-18
pdl_29743.csv;16-oct-18
pdl_29744.csv;16-oct-18
pdl_29745.csv;16-oct-18
pdl_29746.csv;16-oct-18
pdl_29749.csv;16-oct-18
pdl_29753.csv;17-oct-18
pdl_29754.csv;17-oct-18
pdl_29755.csv;17-oct-18
pdl_29756.csv;17-oct-18
pdl_29759.csv;17-oct-18
pdl_29760.csv;17-oct-18
pdl_29763.csv;18-oct-18
pdl_29764.csv;18-oct-18
pdl_29765.csv;18-oct-18
pdl_29766.csv;18-oct-18
pdl_29767.csv;18-oct-18
pdl_29768.csv;18-oct-18
pdl_29769.csv;18-oct-18
pdl_29772.csv;23-oct-18
pdl_29773.csv;23-oct-18
pdl_29774.csv;23-oct-18
pdl_29775.csv;23-oct-18
pdl_29776.csv;23-oct-18
pdl_29777.csv;23-oct-18
pdl_29783.csv;23-oct-18
pdl_29787.csv;24-oct-18
pdl_29788.csv;24-oct-18
pdl_29789.csv;24-oct-18
pdl_29790.csv;24-oct-18
pdl_29791.csv;24-oct-18
pdl_29792.csv;24-oct-18
pdl_29793.csv;24-oct-18
pdl_29794.csv;24-oct-18
pdl_29795.csv;24-oct-18
pdl_29796.csv;24-oct-18
pdl_29800.csv;25-oct-18
pdl_29801.csv;25-oct-18
pdl_29802.csv;25-oct-18
pdl_29803.csv;25-oct-18
pdl_29804.csv;25-oct-18
pdl_29813.csv;06-nov-18
pdl_29814.csv;06-nov-18
pdl_29815.csv;06-nov-18
pdl_29816.csv;06-nov-18
pdl_29817.csv;06-nov-18
pdl_29818.csv;06-nov-18
pdl_29819.csv;06-nov-18
pdl_29820.csv;06-nov-18
pdl_29821.csv;06-nov-18
pdl_29824.csv;07-nov-18
pdl_29825.csv;07-nov-18
pdl_29826.csv;07-nov-18
pdl_29827.csv;07-nov-18
pdl_29828.csv;07-nov-18
pdl_29829.csv;07-nov-18
pdl_29830.csv;07-nov-18
pdl_29831.csv;07-nov-18
pdl_29832.csv;07-nov-18
pdl_29836.csv;07-nov-18
pdl_29837.csv;07-nov-18
pdl_29838.csv;07-nov-18
pdl_29844.csv;08-nov-18
pdl_29845.csv;08-nov-18
pdl_29846.csv;08-nov-18
pdl_29847.csv;08-nov-18
pdl_29848.csv;08-nov-18
pdl_29873.csv;12-nov-18
pdl_29874.csv;12-nov-18
pdl_29875.csv;12-nov-18
pdl_29876.csv;12-nov-18
pdl_29877.csv;12-nov-18
pdl_29878.csv;12-nov-18
pdl_29879.csv;12-nov-18
pdl_29880.csv;12-nov-18
pdl_29884.csv;13-nov-18
pdl_29885.csv;13-nov-18
pdl_29888.csv;14-nov-18
pdl_29889.csv;14-nov-18
pdl_29890.csv;14-nov-18
pdl_29891.csv;14-nov-18
pdl_29892.csv;14-nov-18
pdl_29893.csv;14-nov-18
pdl_29894.csv;14-nov-18
pdl_29895.csv;14-nov-18
pdl_29896.csv;14-nov-18
pdl_29897.csv;14-nov-18
pdl_29898.csv;14-nov-18
pdl_29899.csv;14-nov-18
pdl_29900.csv;14-nov-18
pdl_29901.csv;14-nov-18
pdl_29907.csv;14-nov-18
pdl_29908.csv;14-nov-18
pdl_29909.csv;14-nov-18
pdl_29910.csv;14-nov-18
pdl_29911.csv;14-nov-18
pdl_29912.csv;14-nov-18
pdl_29913.csv;14-nov-18
pdl_29914.csv;14-nov-18
pdl_29915.csv;14-nov-18
pdl_29916.csv;14-nov-18
pdl_29917.csv;14-nov-18
pdl_29918.csv;14-nov-18
pdl_29919.csv;14-nov-18
pdl_29920.csv;14-nov-18
pdl_29921.csv;14-nov-18
pdl_29922.csv;14-nov-18
pdl_29923.csv;14-nov-18
pdl_29924.csv;14-nov-18
pdl_29925.csv;14-nov-18
pdl_29926.csv;14-nov-18
pdl_29927.csv;14-nov-18
pdl_29928.csv;14-nov-18
pdl_29929.csv;14-nov-18
pdl_29930.csv;14-nov-18
pdl_29931.csv;14-nov-18
pdl_29932.csv;14-nov-18
pdl_29933.csv;14-nov-18
pdl_29934.csv;14-nov-18
pdl_29935.csv;14-nov-18
pdl_29936.csv;14-nov-18
pdl_29937.csv;14-nov-18
pdl_29938.csv;14-nov-18
pdl_29939.csv;14-nov-18
pdl_29940.csv;14-nov-18
pdl_29941.csv;14-nov-18
pdl_29942.csv;14-nov-18
pdl_29943.csv;14-nov-18
pdl_29944.csv;14-nov-18
pdl_29945.csv;14-nov-18
pdl_29946.csv;14-nov-18
pdl_29947.csv;14-nov-18
pdl_29948.csv;14-nov-18
pdl_29949.csv;14-nov-18
pdl_29951.csv;14-nov-18
pdl_29952.csv;14-nov-18
pdl_29953.csv;14-nov-18
pdl_29954.csv;14-nov-18
pdl_29955.csv;14-nov-18
pdl_29956.csv;14-nov-18
pdl_29957.csv;14-nov-18
pdl_29958.csv;14-nov-18
pdl_29959.csv;14-nov-18
pdl_29960.csv;14-nov-18
pdl_29961.csv;14-nov-18
pdl_29962.csv;14-nov-18
pdl_29963.csv;14-nov-18
pdl_29964.csv;14-nov-18
pdl_29965.csv;14-nov-18
pdl_29966.csv;14-nov-18
pdl_29967.csv;14-nov-18
pdl_29968.csv;14-nov-18
pdl_29970.csv;14-nov-18
pdl_29971.csv;14-nov-18
pdl_29972.csv;14-nov-18
pdl_29975.csv;15-nov-18
pdl_29976.csv;15-nov-18
pdl_29977.csv;15-nov-18
pdl_29978.csv;15-nov-18
pdl_29979.csv;15-nov-18
pdl_29980.csv;15-nov-18
pdl_29981.csv;15-nov-18
pdl_29982.csv;15-nov-18
pdl_29983.csv;15-nov-18
pdl_29984.csv;15-nov-18
pdl_29985.csv;15-nov-18
pdl_29986.csv;15-nov-18
pdl_29987.csv;15-nov-18
pdl_29988.csv;15-nov-18
pdl_29989.csv;15-nov-18
pdl_29991.csv;15-nov-18
pdl_29992.csv;15-nov-18
pdl_29993.csv;15-nov-18
pdl_29994.csv;15-nov-18
pdl_29995.csv;15-nov-18
pdl_29996.csv;15-nov-18
pdl_29997.csv;15-nov-18
pdl_29998.csv;15-nov-18
